Unnamed: 0,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,portfolio
1716,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_09_00_00
1717,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_01_00_00
1718,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_06_00_00
1719,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_07_00_00
1720,2.8,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_08_00_00
1721,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_08_00_00
1722,2.3,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_07_00_00
1723,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_05_00_00
1724,2.0,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,04_02_00_00
1725,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_00_00_00
1726,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_04_00_00
1727,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_05_00_00
1728,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_04_00_00
1729,2.5,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_00_00_00
1730,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_01_00_00
1731,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_10_00_00
1732,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_05_00_00
1733,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_00_00_00
1734,2.3,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_00_00_00
1735,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_01_00_00
1736,2.8,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_09_00_00
1737,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_06_00_00
1738,2.3,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_10_00_00
1739,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_05_00_00
1740,2.0,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,04_01_00_00
1741,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_10_00_00
1742,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_01_00_00
1743,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_09_00_00
1744,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_00_00_00
1745,2.6,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_01_00_00
1746,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_02_00_00
1747,2.4,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_08_00_00
1748,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_06_00_00
1749,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_10_00_00
1750,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_07_00_00
1751,2.6,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_08_00_00
1752,2.8,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_08_00_00
1753,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_10_00_00
1754,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_10_00_00
1755,2.9,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_02_00_00
1756,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_08_00_00
1757,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_08_00_00
1758,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_10_00_00
1759,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_08_00_00
1760,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_00_00_00
1761,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_02_00_00
1762,2.5,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_07_00_00
1763,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_00_00_00
1764,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_04_00_00
1765,2.3,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_05_00_00
1766,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_08_00_00
1767,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_07_00_00
1768,2.6,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_02_00_00
1769,2.1,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,04_03_00_00
1770,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_07_00_00
1771,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_09_00_00
1772,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_02_00_00
1773,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_00_00_00
1774,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_01_00_00
1775,2.1,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,04_10_00_00
1776,2.5,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_01_00_00
1777,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_06_00_00
1778,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_03_00_00
1779,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_01_00_00
1780,2.6,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_09_00_00
1781,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_07_00_00
1782,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_00_00_00
1783,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_10_00_00
1784,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_04_00_00
1785,2.5,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_02_00_00
1786,2.5,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_05_00_00
1787,2.9,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_01_00_00
1788,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_05_00_00
1789,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_01_00_00
1790,2.9,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_09_00_00
1791,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_09_00_00
1792,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_09_00_00
1793,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_04_00_00
1794,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_06_00_00
1795,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_03_00_00
1796,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_04_00_00
1797,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_00_00_00
1798,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_02_00_00
1799,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_04_00_00
1800,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_06_00_00
1801,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_03_00_00
1802,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_04_00_00
1803,2.3,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_06_00_00
1804,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_05_00_00
1805,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_06_00_00
1806,2.1,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,04_07_00_00
1807,2.1,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,04_08_00_00
1808,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_10_00_00
1809,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_05_00_00
1810,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_07_00_00
1811,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_07_00_00
1812,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_03_00_00
1813,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_07_00_00
1814,2.1,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,04_00_00_00
1815,2.5,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_04_00_00
1816,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_04_00_00
1817,2.5,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_06_00_00
1818,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_02_00_00
1819,2.8,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_02_00_00
1820,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,06_03_00_00
1821,2.3,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_04_00_00
1822,2.6,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_03_00_00
1823,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_06_00_00
1824,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_03_00_00
1825,2.1,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,04_09_00_00
1826,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_05_00_00
1827,2.8,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_01_00_00
1828,2.8,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,09_03_00_00
1829,2.1,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,04_06_00_00
1830,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_09_00_00
1831,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_06_00_00
1832,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_07_00_00
1833,2.9,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_03_00_00
1834,1.3,1.0,2.0,pathways_list_f_a,2,multihaz_agr,G,05_08_00_00
1835,2.5,2.0,3.0,pathways_list_f_a,2,multihaz_agr,G,01_10_00_00
1836,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,08_00_00_00
1837,0.0,0.0,0.0,pathways_list_f_a,2,multihaz_agr,G,00_09_00_00
1838,2.1,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,04_05_00_00
1839,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_02_00_00
1840,2.4,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_09_00_00
1841,2.1,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,04_04_00_00
1842,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,02_03_00_00
1843,2.1,2.0,2.0,pathways_list_f_a,2,multihaz_agr,G,10_02_00_00
1844,2.4,1.0,3.0,pathways_list_f_a,2,multihaz_agr,G,03_03_00_00
1845,2.7,2.0,4.0,pathways_list_f_a,2,multihaz_agr,G,11_05_00_00
1846,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_08_00_00
1847,1.1,1.0,1.0,pathways_list_f_a,2,multihaz_agr,G,07_10_00_00
1848,185.8,106.65,253.95,DamAgr_f_tot,2,multihaz_agr,Wp,02_09_00_00
1849,188.12,109.66,255.8,DamAgr_f_tot,2,multihaz_agr,Wp,10_01_00_00
1850,105.71,50.98,179.64,DamAgr_f_tot,2,multihaz_agr,Wp,05_06_00_00
1851,390.33,223.48,471.37,DamAgr_f_tot,2,multihaz_agr,Wp,11_07_00_00
1852,390.5,221.11,446.67,DamAgr_f_tot,2,multihaz_agr,Wp,09_08_00_00
1853,186.97,105.37,253.95,DamAgr_f_tot,2,multihaz_agr,Wp,02_08_00_00
1854,306.21,214.68,418.65,DamAgr_f_tot,2,multihaz_agr,Wp,03_07_00_00
1855,192.51,105.48,248.1,DamAgr_f_tot,2,multihaz_agr,Wp,02_05_00_00
1856,195.75,105.48,250.17,DamAgr_f_tot,2,multihaz_agr,Wp,04_02_00_00
1857,203.92,106.16,248.1,DamAgr_f_tot,2,multihaz_agr,Wp,02_00_00_00
1858,395.98,274.71,429.2,DamAgr_f_tot,2,multihaz_agr,Wp,09_04_00_00
1859,183.84,106.62,249.13,DamAgr_f_tot,2,multihaz_agr,Wp,10_05_00_00
1860,386.4,223.47,470.43,DamAgr_f_tot,2,multihaz_agr,Wp,11_04_00_00
1861,292.39,210.41,352.82,DamAgr_f_tot,2,multihaz_agr,Wp,01_00_00_00
1862,97.68,52.03,123.83,DamAgr_f_tot,2,multihaz_agr,Wp,07_01_00_00
1863,182.48,106.69,249.13,DamAgr_f_tot,2,multihaz_agr,Wp,10_10_00_00
1864,579.44,428.69,761.16,DamAgr_f_tot,2,multihaz_agr,Wp,00_05_00_00
1865,111.25,50.98,186.14,DamAgr_f_tot,2,multihaz_agr,Wp,05_00_00_00
1866,304.68,212.75,416.11,DamAgr_f_tot,2,multihaz_agr,Wp,03_00_00_00
1867,187.85,108.37,253.95,DamAgr_f_tot,2,multihaz_agr,Wp,02_01_00_00
1868,386.55,224.49,441.23,DamAgr_f_tot,2,multihaz_agr,Wp,09_09_00_00
1869,95.35,50.98,121.2,DamAgr_f_tot,2,multihaz_agr,Wp,08_06_00_00
1870,322.32,218.48,418.7,DamAgr_f_tot,2,multihaz_agr,Wp,03_10_00_00
1871,95.37,50.98,121.22,DamAgr_f_tot,2,multihaz_agr,Wp,07_05_00_00
1872,193.98,105.48,250.14,DamAgr_f_tot,2,multihaz_agr,Wp,04_01_00_00
1873,386.05,223.64,471.45,DamAgr_f_tot,2,multihaz_agr,Wp,11_10_00_00
1874,108.24,52.03,184.79,DamAgr_f_tot,2,multihaz_agr,Wp,05_01_00_00
1875,185.87,108.84,255.8,DamAgr_f_tot,2,multihaz_agr,Wp,10_09_00_00
1876,400.59,304.4,461.24,DamAgr_f_tot,2,multihaz_agr,Wp,11_00_00_00
1877,275.93,192.25,342.43,DamAgr_f_tot,2,multihaz_agr,Wp,01_01_00_00
1878,586.64,438.15,776.64,DamAgr_f_tot,2,multihaz_agr,Wp,00_02_00_00
1879,294.09,214.41,360.54,DamAgr_f_tot,2,multihaz_agr,Wp,03_08_00_00
1880,95.35,50.98,121.2,DamAgr_f_tot,2,multihaz_agr,Wp,07_06_00_00
1881,104.77,50.98,174.5,DamAgr_f_tot,2,multihaz_agr,Wp,05_10_00_00
1882,192.89,105.37,248.1,DamAgr_f_tot,2,multihaz_agr,Wp,02_07_00_00
1883,269.4,161.55,341.68,DamAgr_f_tot,2,multihaz_agr,Wp,01_08_00_00
1884,393.26,226.87,450.34,DamAgr_f_tot,2,multihaz_agr,Wp,11_08_00_00
1885,191.22,105.08,248.1,DamAgr_f_tot,2,multihaz_agr,Wp,02_10_00_00
1886,395.54,272.53,428.32,DamAgr_f_tot,2,multihaz_agr,Wp,09_10_00_00
1887,389.98,229.55,444.47,DamAgr_f_tot,2,multihaz_agr,Wp,11_02_00_00
1888,187.0,106.52,254.18,DamAgr_f_tot,2,multihaz_agr,Wp,10_08_00_00
1889,592.74,440.49,776.73,DamAgr_f_tot,2,multihaz_agr,Wp,00_08_00_00
1890,572.45,429.25,759.82,DamAgr_f_tot,2,multihaz_agr,Wp,00_10_00_00
1891,110.29,52.03,184.79,DamAgr_f_tot,2,multihaz_agr,Wp,06_08_00_00
1892,105.87,50.98,186.14,DamAgr_f_tot,2,multihaz_agr,Wp,07_00_00_00
1893,110.69,52.03,179.19,DamAgr_f_tot,2,multihaz_agr,Wp,06_02_00_00
1894,290.21,186.79,358.32,DamAgr_f_tot,2,multihaz_agr,Wp,01_07_00_00
1895,571.97,424.04,753.55,DamAgr_f_tot,2,multihaz_agr,Wp,00_00_00_00
1896,572.97,426.92,758.72,DamAgr_f_tot,2,multihaz_agr,Wp,00_04_00_00
1897,306.38,214.81,418.48,DamAgr_f_tot,2,multihaz_agr,Wp,03_05_00_00
1898,96.71,52.03,123.68,DamAgr_f_tot,2,multihaz_agr,Wp,08_08_00_00
1899,95.64,50.98,122.51,DamAgr_f_tot,2,multihaz_agr,Wp,07_07_00_00
1900,272.09,189.37,342.37,DamAgr_f_tot,2,multihaz_agr,Wp,01_02_00_00
1901,192.94,105.42,250.07,DamAgr_f_tot,2,multihaz_agr,Wp,04_03_00_00
1902,387.58,221.98,433.79,DamAgr_f_tot,2,multihaz_agr,Wp,09_07_00_00
1903,106.75,52.03,179.2,DamAgr_f_tot,2,multihaz_agr,Wp,05_09_00_00
1904,97.12,52.03,123.84,DamAgr_f_tot,2,multihaz_agr,Wp,08_02_00_00
1905,182.93,105.73,249.13,DamAgr_f_tot,2,multihaz_agr,Wp,10_00_00_00
