,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fa_p,da_p,fu_p,ds_p
106,38.84,29.76,40.81,DamAgr_d_tot,2,multihaz_agr,D,10,8,999,999
107,290.52,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,8,999,999
108,18.08,16.62,18.44,invest_d_a,2,multihaz_agr,D,10,8,999,999
109,915.39,878.88,927.53,revenue_agr,2,multihaz_agr,D,10,8,999,999
110,1.1,1.0,1.0,pathways_list_d_a,2,multihaz_agr,D,10,8,999,999
111,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,8,999,999
112,171.85,95.15,233.81,DamAgr_f_tot,2,multihaz_agr,D,10,5,999,999
113,37.64,26.19,48.0,DamAgr_d_tot,2,multihaz_agr,D,10,5,999,999
114,290.52,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,5,999,999
115,30.77,26.33,32.81,invest_d_a,2,multihaz_agr,D,10,5,999,999
116,916.62,902.26,926.56,revenue_agr,2,multihaz_agr,D,10,5,999,999
117,2.0,2.0,2.0,pathways_list_d_a,2,multihaz_agr,D,10,5,999,999
118,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,5,999,999
119,160.67,97.71,222.11,DamAgr_f_tot,2,multihaz_agr,D,10,2,999,999
120,118.97,103.81,128.35,DamAgr_d_tot,2,multihaz_agr,D,10,2,999,999
121,291.53,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,2,999,999
122,25.31,23.61,26.49,invest_d_a,2,multihaz_agr,D,10,2,999,999
123,836.96,814.99,855.64,revenue_agr,2,multihaz_agr,D,10,2,999,999
124,4.0,4.0,4.0,pathways_list_d_a,2,multihaz_agr,D,10,2,999,999
125,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,2,999,999
126,171.1,94.74,233.33,DamAgr_f_tot,2,multihaz_agr,D,10,0,999,999
127,168.45,143.4,183.71,DamAgr_d_tot,2,multihaz_agr,D,10,0,999,999
128,290.52,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,0,999,999
129,0.0,0.0,0.0,invest_d_a,2,multihaz_agr,D,10,0,999,999
130,787.39,755.84,815.02,revenue_agr,2,multihaz_agr,D,10,0,999,999
131,0.0,0.0,0.0,pathways_list_d_a,2,multihaz_agr,D,10,0,999,999
132,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,0,999,999
133,170.07,95.15,233.5,DamAgr_f_tot,2,multihaz_agr,D,10,4,999,999
134,67.48,51.0,74.63,DamAgr_d_tot,2,multihaz_agr,D,10,4,999,999
135,290.52,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,4,999,999
136,26.87,21.19,36.19,invest_d_a,2,multihaz_agr,D,10,4,999,999
137,887.23,869.27,896.85,revenue_agr,2,multihaz_agr,D,10,4,999,999
138,3.3,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,10,4,999,999
139,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,4,999,999
140,168.95,95.15,230.41,DamAgr_f_tot,2,multihaz_agr,D,10,10,999,999
141,32.15,19.98,40.68,DamAgr_d_tot,2,multihaz_agr,D,10,10,999,999
142,290.52,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,10,999,999
143,20.31,15.81,21.95,invest_d_a,2,multihaz_agr,D,10,10,999,999
144,922.3,906.62,932.58,revenue_agr,2,multihaz_agr,D,10,10,999,999
145,2.0,2.0,2.0,pathways_list_d_a,2,multihaz_agr,D,10,10,999,999
146,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,10,999,999
147,163.08,97.71,229.48,DamAgr_f_tot,2,multihaz_agr,D,10,3,999,999
148,102.91,90.56,114.35,DamAgr_d_tot,2,multihaz_agr,D,10,3,999,999
149,290.52,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,3,999,999
150,31.99,23.32,37.15,invest_d_a,2,multihaz_agr,D,10,3,999,999
151,852.73,837.29,870.12,revenue_agr,2,multihaz_agr,D,10,3,999,999
152,3.7,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,10,3,999,999
153,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,3,999,999
154,86.96,31.57,118.82,DamAgr_f_tot,2,multihaz_agr,D,5,9,999,999
155,99.01,87.62,108.76,DamAgr_d_tot,2,multihaz_agr,D,5,9,999,999
156,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,9,999,999
157,33.08,23.5,35.34,invest_d_a,2,multihaz_agr,D,5,9,999,999
158,863.72,849.39,875.08,revenue_agr,2,multihaz_agr,D,5,9,999,999
159,4.0,4.0,4.0,pathways_list_d_a,2,multihaz_agr,D,5,9,999,999
160,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,9,999,999
161,81.82,32.41,115.61,DamAgr_f_tot,2,multihaz_agr,D,5,1,999,999
162,105.24,90.6,116.42,DamAgr_d_tot,2,multihaz_agr,D,5,1,999,999
163,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,1,999,999
164,32.67,23.74,37.58,invest_d_a,2,multihaz_agr,D,5,1,999,999
165,857.91,838.35,869.41,revenue_agr,2,multihaz_agr,D,5,1,999,999
166,3.7,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,5,1,999,999
167,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,1,999,999
168,85.99,31.57,118.7,DamAgr_f_tot,2,multihaz_agr,D,5,6,999,999
169,51.52,37.68,61.68,DamAgr_d_tot,2,multihaz_agr,D,5,6,999,999
170,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,6,999,999
171,34.6,30.34,36.28,invest_d_a,2,multihaz_agr,D,5,6,999,999
172,911.11,897.49,922.05,revenue_agr,2,multihaz_agr,D,5,6,999,999
173,3.0,3.0,3.0,pathways_list_d_a,2,multihaz_agr,D,5,6,999,999
174,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,6,999,999
175,86.14,31.57,119.66,DamAgr_f_tot,2,multihaz_agr,D,5,7,999,999
176,32.96,24.77,35.24,DamAgr_d_tot,2,multihaz_agr,D,5,7,999,999
177,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,7,999,999
178,19.1,16.62,18.44,invest_d_a,2,multihaz_agr,D,5,7,999,999
179,929.39,918.95,936.89,revenue_agr,2,multihaz_agr,D,5,7,999,999
180,1.1,1.0,1.0,pathways_list_d_a,2,multihaz_agr,D,5,7,999,999
181,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,7,999,999
182,86.5,31.57,119.66,DamAgr_f_tot,2,multihaz_agr,D,5,8,999,999
183,38.82,29.61,40.81,DamAgr_d_tot,2,multihaz_agr,D,5,8,999,999
184,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,8,999,999
185,18.08,16.62,18.44,invest_d_a,2,multihaz_agr,D,5,8,999,999
186,923.7,878.89,936.89,revenue_agr,2,multihaz_agr,D,5,8,999,999
187,1.1,1.0,1.0,pathways_list_d_a,2,multihaz_agr,D,5,8,999,999
188,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,8,999,999
189,86.0,31.57,118.7,DamAgr_f_tot,2,multihaz_agr,D,5,5,999,999
190,37.56,26.19,48.0,DamAgr_d_tot,2,multihaz_agr,D,5,5,999,999
191,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,5,999,999
192,30.77,26.33,32.81,invest_d_a,2,multihaz_agr,D,5,5,999,999
193,924.89,908.57,934.35,revenue_agr,2,multihaz_agr,D,5,5,999,999
194,2.0,2.0,2.0,pathways_list_d_a,2,multihaz_agr,D,5,5,999,999
195,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,5,999,999
196,81.24,32.41,115.61,DamAgr_f_tot,2,multihaz_agr,D,5,2,999,999
197,119.15,103.81,128.33,DamAgr_d_tot,2,multihaz_agr,D,5,2,999,999
198,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,2,999,999
199,25.31,23.61,26.49,invest_d_a,2,multihaz_agr,D,5,2,999,999
200,844.11,818.97,858.6,revenue_agr,2,multihaz_agr,D,5,2,999,999
201,4.0,4.0,4.0,pathways_list_d_a,2,multihaz_agr,D,5,2,999,999
202,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,2,999,999
203,85.87,31.57,118.18,DamAgr_f_tot,2,multihaz_agr,D,5,0,999,999
204,168.67,143.59,186.14,DamAgr_d_tot,2,multihaz_agr,D,5,0,999,999
205,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,0,999,999
206,0.0,0.0,0.0,invest_d_a,2,multihaz_agr,D,5,0,999,999
207,794.66,759.66,823.49,revenue_agr,2,multihaz_agr,D,5,0,999,999
208,0.0,0.0,0.0,pathways_list_d_a,2,multihaz_agr,D,5,0,999,999
209,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,0,999,999
210,85.93,31.57,118.43,DamAgr_f_tot,2,multihaz_agr,D,5,4,999,999
211,65.56,51.0,74.22,DamAgr_d_tot,2,multihaz_agr,D,5,4,999,999
212,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,4,999,999
213,28.25,21.19,37.63,invest_d_a,2,multihaz_agr,D,5,4,999,999
214,897.09,884.98,906.56,revenue_agr,2,multihaz_agr,D,5,4,999,999
215,3.4,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,5,4,999,999
216,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,4,999,999
217,85.48,31.57,118.82,DamAgr_f_tot,2,multihaz_agr,D,5,10,999,999
218,32.11,19.98,40.68,DamAgr_d_tot,2,multihaz_agr,D,5,10,999,999
219,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,10,999,999
220,20.31,15.81,21.95,invest_d_a,2,multihaz_agr,D,5,10,999,999
221,930.26,912.93,939.99,revenue_agr,2,multihaz_agr,D,5,10,999,999
222,2.0,2.0,2.0,pathways_list_d_a,2,multihaz_agr,D,5,10,999,999
223,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,10,999,999
224,87.55,32.41,118.43,DamAgr_f_tot,2,multihaz_agr,D,5,3,999,999
225,102.91,90.56,114.12,DamAgr_d_tot,2,multihaz_agr,D,5,3,999,999
226,140.4,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,3,999,999
227,31.93,23.32,37.15,invest_d_a,2,multihaz_agr,D,5,3,999,999
228,859.83,841.63,871.32,revenue_agr,2,multihaz_agr,D,5,3,999,999
229,3.7,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,5,3,999,999
230,1.2,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,3,999,999
231,196.58,110.82,246.39,DamAgr_f_tot,2,multihaz_agr,D,11,9,999,999
232,84.38,50.64,104.58,DamAgr_d_tot,2,multihaz_agr,D,11,9,999,999
233,109.21,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,9,999,999
234,28.68,23.05,34.76,invest_d_a,2,multihaz_agr,D,11,9,999,999
235,864.25,827.66,890.45,revenue_agr,2,multihaz_agr,D,11,9,999,999
236,3.8,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,11,9,999,999
237,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,9,999,999
238,200.33,111.66,252.0,DamAgr_f_tot,2,multihaz_agr,D,11,1,999,999
239,74.47,58.17,96.22,DamAgr_d_tot,2,multihaz_agr,D,11,1,999,999
240,109.22,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,1,999,999
241,19.7,11.34,22.53,invest_d_a,2,multihaz_agr,D,11,1,999,999
242,873.94,840.63,894.95,revenue_agr,2,multihaz_agr,D,11,1,999,999
243,3.0,2.0,4.0,pathways_list_d_a,2,multihaz_agr,D,11,1,999,999
244,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,1,999,999
245,194.91,108.16,245.98,DamAgr_f_tot,2,multihaz_agr,D,11,6,999,999
246,53.43,38.77,62.06,DamAgr_d_tot,2,multihaz_agr,D,11,6,999,999
247,108.87,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,6,999,999
248,34.64,30.34,36.28,invest_d_a,2,multihaz_agr,D,11,6,999,999
249,895.26,876.09,909.74,revenue_agr,2,multihaz_agr,D,11,6,999,999
250,3.0,3.0,3.0,pathways_list_d_a,2,multihaz_agr,D,11,6,999,999
251,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,6,999,999
252,195.19,108.16,246.53,DamAgr_f_tot,2,multihaz_agr,D,11,7,999,999
253,35.05,25.71,37.38,DamAgr_d_tot,2,multihaz_agr,D,11,7,999,999
254,108.87,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,7,999,999
255,19.1,16.62,18.44,invest_d_a,2,multihaz_agr,D,11,7,999,999
256,913.23,882.61,927.56,revenue_agr,2,multihaz_agr,D,11,7,999,999
257,1.1,1.0,1.0,pathways_list_d_a,2,multihaz_agr,D,11,7,999,999
258,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,7,999,999
259,195.78,108.16,246.53,DamAgr_f_tot,2,multihaz_agr,D,11,8,999,999
260,37.51,31.91,41.01,DamAgr_d_tot,2,multihaz_agr,D,11,8,999,999
261,108.87,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,8,999,999
262,17.64,16.62,18.44,invest_d_a,2,multihaz_agr,D,11,8,999,999
263,910.9,882.61,922.28,revenue_agr,2,multihaz_agr,D,11,8,999,999
264,1.1,1.0,1.0,pathways_list_d_a,2,multihaz_agr,D,11,8,999,999
265,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,8,999,999
266,194.97,108.16,245.98,DamAgr_f_tot,2,multihaz_agr,D,11,5,999,999
267,38.88,27.13,48.07,DamAgr_d_tot,2,multihaz_agr,D,11,5,999,999
268,108.87,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,5,999,999
269,30.77,26.33,32.81,invest_d_a,2,multihaz_agr,D,11,5,999,999
270,909.59,883.03,919.79,revenue_agr,2,multihaz_agr,D,11,5,999,999
271,2.0,2.0,2.0,pathways_list_d_a,2,multihaz_agr,D,11,5,999,999
272,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,5,999,999
273,196.86,111.66,248.42,DamAgr_f_tot,2,multihaz_agr,D,11,2,999,999
274,96.77,80.4,112.64,DamAgr_d_tot,2,multihaz_agr,D,11,2,999,999
275,109.22,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,2,999,999
276,16.29,12.27,21.36,invest_d_a,2,multihaz_agr,D,11,2,999,999
277,852.13,820.3,874.43,revenue_agr,2,multihaz_agr,D,11,2,999,999
278,3.5,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,11,2,999,999
279,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,2,999,999
280,194.0,107.71,245.49,DamAgr_f_tot,2,multihaz_agr,D,11,0,999,999
281,181.24,153.18,201.45,DamAgr_d_tot,2,multihaz_agr,D,11,0,999,999
282,108.87,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,0,999,999
283,0.0,0.0,0.0,invest_d_a,2,multihaz_agr,D,11,0,999,999
284,768.99,747.47,790.31,revenue_agr,2,multihaz_agr,D,11,0,999,999
285,0.0,0.0,0.0,pathways_list_d_a,2,multihaz_agr,D,11,0,999,999
286,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,0,999,999
287,192.91,108.16,245.67,DamAgr_f_tot,2,multihaz_agr,D,11,4,999,999
288,69.46,52.19,76.6,DamAgr_d_tot,2,multihaz_agr,D,11,4,999,999
289,108.87,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,4,999,999
290,28.3,21.19,37.63,invest_d_a,2,multihaz_agr,D,11,4,999,999
291,879.48,849.21,886.39,revenue_agr,2,multihaz_agr,D,11,4,999,999
292,3.4,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,11,4,999,999
293,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,4,999,999
294,191.89,108.16,242.93,DamAgr_f_tot,2,multihaz_agr,D,11,10,999,999
295,32.44,19.98,40.68,DamAgr_d_tot,2,multihaz_agr,D,11,10,999,999
296,108.87,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,10,999,999
297,20.29,15.81,21.95,invest_d_a,2,multihaz_agr,D,11,10,999,999
298,916.21,888.02,930.21,revenue_agr,2,multihaz_agr,D,11,10,999,999
299,2.0,2.0,2.0,pathways_list_d_a,2,multihaz_agr,D,11,10,999,999
300,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,10,999,999
301,199.9,111.66,249.45,DamAgr_f_tot,2,multihaz_agr,D,11,3,999,999
302,84.49,54.54,111.86,DamAgr_d_tot,2,multihaz_agr,D,11,3,999,999
303,109.21,0.84,197.42,invest_f_a,2,multihaz_agr,D,11,3,999,999
304,25.89,16.24,36.51,invest_d_a,2,multihaz_agr,D,11,3,999,999
305,863.94,819.67,894.38,revenue_agr,2,multihaz_agr,D,11,3,999,999
306,3.4,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,11,3,999,999
307,1.9,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,11,3,999,999
308,196.06,111.2,246.66,DamAgr_f_tot,2,multihaz_agr,D,9,9,999,999
309,94.6,76.9,106.86,DamAgr_d_tot,2,multihaz_agr,D,9,9,999,999
310,202.08,54.76,284.15,invest_f_a,2,multihaz_agr,D,9,9,999,999
311,31.87,23.5,35.18,invest_d_a,2,multihaz_agr,D,9,9,999,999
312,833.08,807.83,847.5,revenue_agr,2,multihaz_agr,D,9,9,999,999
313,3.9,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,9,9,999,999
314,2.0,1.0,3.0,pathways_list_f_a,2,multihaz_agr,D,9,9,999,999
315,200.31,111.97,252.8,DamAgr_f_tot,2,multihaz_agr,D,9,1,999,999
316,99.35,69.68,112.18,DamAgr_d_tot,2,multihaz_agr,D,9,1,999,999
317,203.09,54.76,284.15,invest_f_a,2,multihaz_agr,D,9,1,999,999
318,31.37,21.78,36.94,invest_d_a,2,multihaz_agr,D,9,1,999,999
319,827.95,800.06,837.03,revenue_agr,2,multihaz_agr,D,9,1,999,999
320,3.6,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,9,1,999,999
321,2.0,1.0,3.0,pathways_list_f_a,2,multihaz_agr,D,9,1,999,999
