timing,measure_sequence,no_measure,sector_hazard,sectorname,cc_scenario,climvar,portfolio,realization,f_a,d_a,f_u,d_s,stage
,,4,multihaz_urb,f_u,D,9,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
33.0,0&13,1,multihaz_urb,f_u,D,10,00_00_06_00,5000,0.0,0.0,6.0,0.0,
84.0,0&13&17,2,multihaz_urb,f_u,D,10,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,3,multihaz_urb,f_u,D,10,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,D,10,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
38.0,0&13,1,multihaz_urb,f_u,G,1,00_00_06_00,5000,0.0,0.0,6.0,0.0,
48.0,0&13&17,2,multihaz_urb,f_u,G,1,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,3,multihaz_urb,f_u,G,1,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,G,1,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
4.0,0&13,1,multihaz_urb,f_u,G,2,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,2,multihaz_urb,f_u,G,2,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,3,multihaz_urb,f_u,G,2,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,G,2,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
23.0,0&13,1,multihaz_urb,f_u,G,3,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,2,multihaz_urb,f_u,G,3,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,3,multihaz_urb,f_u,G,3,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,G,3,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
5.0,0&13,1,multihaz_urb,f_u,G,4,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,2,multihaz_urb,f_u,G,4,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,3,multihaz_urb,f_u,G,4,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,G,4,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
58.0,0&13,1,multihaz_urb,f_u,G,5,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,2,multihaz_urb,f_u,G,5,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,3,multihaz_urb,f_u,G,5,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,G,5,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
19.0,0&13,1,multihaz_urb,f_u,G,6,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,2,multihaz_urb,f_u,G,6,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,3,multihaz_urb,f_u,G,6,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,G,6,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
18.0,0&13,1,multihaz_urb,f_u,G,7,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,2,multihaz_urb,f_u,G,7,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,3,multihaz_urb,f_u,G,7,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,G,7,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
5.0,0&13,1,multihaz_urb,f_u,G,8,00_00_06_00,5000,0.0,0.0,6.0,0.0,
57.0,0&13&17,2,multihaz_urb,f_u,G,8,00_00_06_00,5000,0.0,0.0,6.0,0.0,
84.0,0&13&17&14,3,multihaz_urb,f_u,G,8,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,4,multihaz_urb,f_u,G,8,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
26.0,0&13,1,multihaz_urb,f_u,G,9,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,2,multihaz_urb,f_u,G,9,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,3,multihaz_urb,f_u,G,9,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,G,9,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
33.0,0&13,1,multihaz_urb,f_u,G,10,00_00_06_00,5000,0.0,0.0,6.0,0.0,
84.0,0&13&17,2,multihaz_urb,f_u,G,10,00_00_06_00,5000,0.0,0.0,6.0,0.0,
,,3,multihaz_urb,f_u,G,10,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
,,4,multihaz_urb,f_u,G,10,00_00_06_00,5000,0.0,0.0,6.0,0.0,2.0
38.0,0&13,1,multihaz_urb,f_u,Wp,1,00_00_06_00,5000,0.0,0.0,6.0,0.0,
48.0,0&13&17,2,multihaz_urb,f_u,Wp,1,00_00_06_00,5000,0.0,0.0,6.0,0.0,
